codigo_antiguo;codigo_nuevo;codigo_madre;codigo_madre2;codigo_region;region;seremi;perteneciente;TipoEstablecimiento;dependencia;nivel;nombre;codigo_comuna;nombre_comuna;Fecha Vigencia (Desde);codigo_ss_region
02-222;102222;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Atención Instituto de Seguridad del Trabajador Iquique;01101;Iquique;01-01-2009;1
02-223;102223;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico del Trabajador AChS Iquique;01101;Iquique;01-01-2009;1
02-224;102224;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Vacunatorio;Privado;No Aplica;Vacunatorio Sonrisa Infantil;01101;Iquique;01-01-2009;1
02-225;102225;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro Médico y Dental;Privado;No Aplica;Centro Médico y Dental Megasalud Alto Hospicio;01107;Alto Hospicio;01-01-2009;1
02-227;102227;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Otra Institución;No Aplica;Centro de Salud Universidad Arturo Prat;01101;Iquique;01-01-2009;1
02-228;102228;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Bionet S.A. - Iquique;01101;Iquique;01-01-2009;1
02-229;102229;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Automatizado Elmo;01101;Iquique;01-01-2009;1
02-230;102230;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Automatizado Biogénesis;01101;Iquique;01-01-2009;1
02-231;102231;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Clinicum Laboratorio Automatizado Ltda.;01101;Iquique;01-01-2009;1
02-232;102232;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Diálisis;Privado;No Aplica;Centro de Diálisis Medicen;01101;Iquique;01-01-2009;1
02-233;102233;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Diálisis;Privado;No Aplica;Centro de Diálisis Iquique;01101;Iquique;01-01-2009;1
02-234;102234;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Diálisis;Privado;No Aplica;Centro de Diálisis Corporación Paúl Harris;01101;Iquique;01-01-2009;1
02-235;102235;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Iquilab;01101;Iquique;01-01-2009;1
02-236;102236;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Playa Brava;01101;Iquique;01-01-2009;1
02-238;102238;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico OASIS S.A.C.;01101;Iquique;01-01-2009;1
02-240;102240;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Diálisis;Privado;No Aplica;Centro de Diálisis la Tirana;01101;Iquique;01-01-2009;1
02-241;102241;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Costanera;01101;Iquique;01-01-2009;1
02-242;102242;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Arauco Ltda.;01101;Iquique;01-01-2009;1
02-300;102300;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Cirujano Aguirre;01101;Iquique;01-01-2009;2
02-301;102301;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Cirujano Videla;01101;Iquique;01-01-2009;2
02-302;102302;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Cirujano Guzmán;01101;Iquique;01-01-2009;2
02-303;102303;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Pozo Almonte;01401;Pozo Almonte;01-01-2009;2
02-304;102304;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Dr. Juan Márquez Vismarra;01405;Pica;01-01-2009;2
02-305;102305;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Pedro Pulgar Melgarejo;01107;Alto Hospicio;01-01-2009;2
02-306;102306;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Sur de Iquique;01101;Iquique;01-01-2009;2
02-307;102307;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Urbano;Servicio de Salud;Primario;Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;01107;Alto Hospicio;01-01-2009;2
02-308;102308;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Dr. Amador Neghme Rodríguez;01404;Huara;01-01-2009;2
02-309;102309;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Camiña;01402;Camiña;01-01-2009;2
02-310;102310;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Colchane;01403;Colchane;01-01-2009;2
02-400;102400;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Pisagua;01404;Huara;01-01-2009;2
02-402;102402;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Tarapacá;01404;Huara;01-01-2009;2
02-403;102403;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Mamiña;01401;Pozo Almonte;01-01-2009;2
02-406;102406;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural La Tirana;01401;Pozo Almonte;01-01-2009;2
02-407;102407;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Chiapa;01404;Huara;01-01-2009;2
02-408;102408;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Moquella;01402;Camiña;01-01-2009;2
02-409;102409;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Enquelga;01403;Colchane;01-01-2009;2
02-410;102410;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Sibaya;01404;Huara;01-01-2009;2
02-411;102411;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Cancosa;01405;Pica;01-01-2009;2
02-412;102412;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Chanavayita;01101;Iquique;01-01-2009;2
02-413;102413;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural San Marcos;01101;Iquique;01-01-2009;2
02-414;102414;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural La Huayca;01401;Pozo Almonte;01-01-2009;2
02-415;102415;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Cariquima;01403;Colchane;01-01-2009;2
02-416;102416;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Matilla;01405;Pica;01-01-2009;2
02-600;102600;02-010;102010;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Servicio de Salud;Secundario;COSAM Dr. Jorge Seguel Cáceres;01101;Iquique;01-01-2009;2
02-601;102601;02-010;102010;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Servicio de Salud;Secundario;COSAM Salvador Allende;01101;Iquique;01-01-2009;2
02-602;102602;02-010;102010;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Servicio de Salud;Secundario;COSAM Enrique París;01107;Alto Hospicio;01-01-2009;2
02-701;102701;02-301;102301;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Cerro Esmeralda;01101;Iquique;01-01-2009;2
02-705;102705;02-305;102305;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar El Boro;01107;Alto Hospicio;01-01-2009;2
02-800;102800;02-300;102300;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU Cirujano Aguirre;01101;Iquique;01-01-2009;2
02-801;102801;02-301;102301;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU Cirujano Videla;01101;Iquique;01-01-2009;2
02-802;102802;02-302;102302;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU Cirujano Guzmán;01101;Iquique;01-01-2009;2
02-803;102803;02-303;102303;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU Pozo Almonte;01401;Pozo Almonte;01-01-2009;2
02-805;102805;02-305;102305;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU Pedro Pulgar Melgarejo;01107;Alto Hospicio;01-01-2009;2
02-806;102806;02-306;102306;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAR Sur de Iquique;01101;Iquique;01-01-2009;2
02-807;102807;02-305;102305;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Municipal;Primario;SAPU El Boro;01107;Alto Hospicio;01-01-2009;2
03-010;103010;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta);02101;Antofagasta;01-01-2009;3
03-011;103011;03-010;103010;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;;Servicio de Salud;No Aplica;PRAIS (S.S Antofagasta);02101;Antofagasta;01-01-2009;3
03-012;103012;03-010;103010;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;;Servicio de Salud;Primario;Sala de Procedimientos Odontológicos Móvil (SPOM) Patente PXI 415-0;02101;Antofagasta;01-01-2009;3
03-013;103013;03-010;103010;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;;Servicio de Salud;Primario;Sala de Procedimientos Odontológicos Móvil (SPOM) Patente BKG-355;02101;Antofagasta;01-01-2009;3
03-100;103100;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Dr. Leonardo Guzmán (Antofagasta);02101;Antofagasta;01-01-2009;3
03-101;103101;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Dr. Carlos Cisternas (Calama);02201;Calama;01-01-2009;3
03-102;103102;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Establecimiento Baja Complejidad;Servicio de Salud;Terciario;Hospital Dr. Marcos Macuada (Tocopilla);02301;Tocopilla;01-01-2009;3
03-103;103103;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Establecimiento Baja Complejidad;Servicio de Salud;Terciario;Hospital 21 de Mayo (Taltal);02104;Taltal;01-01-2009;3
03-104;103104;;;2;De Antofagasta;Servicio de Salud Antofagasta;Perteneciente;Establecimiento Baja Complejidad;Servicio de Salud;Terciario;Hospital de Mejillones;02102;Mejillones;01-01-2009;3
03-201;103201;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Hospital (No perteneciente al SNSS);Privado;No Aplica;Hospital Cruz del Norte;02302;Maria Elena;01-01-2009;2
03-203;103203;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Antofagasta;02101;Antofagasta;01-01-2009;2
03-210;103210;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Hospital (No perteneciente al SNSS);Público No perteneciente al SNSS;No Aplica;Hospital Militar del Norte;02101;Antofagasta;01-01-2009;2
03-211;103211;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Mutual de Seguridad CChC de Calama;02201;Calama;01-01-2009;2
03-212;103212;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Baquedano;02101;Antofagasta;01-01-2009;2
03-214;103214;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Urológica;02101;Antofagasta;01-01-2009;2
03-215;103215;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Oriente;02101;Antofagasta;01-01-2009;2
03-216;103216;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Mutual de Seguridad CChC Tocopilla;02301;Tocopilla;01-01-2009;2
03-218;103218;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica El Loa;02201;Calama;01-01-2009;2
03-219;103219;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Hospital (No perteneciente al SNSS);Privado;No Aplica;Hospital del Cobre Salvador Allende;02201;Calama;01-01-2009;2
03-220;103220;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica La Portada;02101;Antofagasta;01-01-2009;2
03-221;103221;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Calama;02201;Calama;01-01-2009;2
03-223;103223;;;2;De Antofagasta;SEREMI De Antofagasta;No Perteneciente;Clínica;Privado;No Aplica;Clínica Oftalmológica (Mas Visión);02101;Antofagasta;01-01-2009;2
